City,Temperature
Accra,77
Addis Ababa,59
Adelaide,45
Algiers,81
Almaty,64
Amman,73
Amsterdam,66
Anadyr,43
Anchorage,61
Ankara,63
Antananarivo,52
Asuncion,72
Athens,80
Atlanta,87
Auckland,57
Baghdad,87
Bangkok,79
Barcelona,79
Beijing,61
Belgrade,70
Bengaluru,68
Berlin,70
Bogota,68
Boston,72
Brasilia,88
Brisbane,60
Brussels,66
Bucharest,68
Budapest,68
Buenos Aires,59
Cairo,79
Calgary,73
Canberra,37
Cape Town,52
Caracas,90
Casablanca,73
Chicago,81
Copenhagen,63
Dallas,101
Dar es Salaam,73
Darwin,72
Denver,90
Detroit,80
Dhaka,81
Doha,93
Dubai,95
Dublin,59
