City,Temperature
Accra,77 °F
Addis Ababa,59 °F
Adelaide,48 °F
Algiers,83 °F
Almaty,55 °F
Amman,73 °F
Amsterdam,63 °F
Anadyr,46 °F
Anchorage,53 °F
Ankara,68 °F
Antananarivo,55 °F
Asuncion,63 °F
Athens,87 °F
Atlanta,95 °F
Auckland,59 °F
Baghdad,95 °F
Bangkok,81 °F
Barcelona,81 °F
Beijing,72 °F
Beirut,81 °F
Belgrade,68 °F
Bengaluru,73 °F
Berlin,54 °F
Bogota,64 °F
Boston,66 °F
Brasilia,73 °F
Brisbane,61 °F
Brussels,66 °F
Bucharest,63 °F
Budapest,54 °F
Buenos Aires,48 °F
Cairo,81 °F
Calgary,57 °F
Canberra,48 °F
Cape Town,63 °F
Caracas,90 °F
Casablanca,79 °F
Chicago,78 °F
Copenhagen,59 °F
Dallas,98 °F
Dar es Salaam,77 °F
Darwin,73 °F
Denver,92 °F
Detroit,77 °F
Dhaka,83 °F
Doha,93 °F
Dubai,95 °F
